brand_name,address,location
ACURA,"Acura Almulla, Car Dealer Rd, Kuwait",https://maps.app.goo.gl/J3oPuFs33svZGpK89
AUDI,"Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/N2tDDcLCBw2xHk2Q9
BMW,"Airport Rd, Al Shuwaikh 21540, Kuwait",https://maps.app.goo.gl/a4zTsfhJ9c3wUL337
CADILLAC,"Alghanim Showroom, 11 St, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/kxHFEddNPWyQsTtGA
CHANGAN,"Changan Showroom Al Rai, Mohammed Bin Al Qasim Rd, Shuwaikh، Kuwait",https://maps.app.goo.gl/MznfGxTJiJkdNNEx6
CHEVROLET,"Chevrolet Alghanim - Service Shuwaikh, 7 Street Shuwaikh Industrial 1, ShopNo: 101B, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/h9CBiAxPYf3GbAAs5
CHIREY,"Chery Alghanim Service Center - مركز خدمة شيري الغانم, Street 11, Shuwaikh Industrial 70051, Kuwait",https://maps.app.goo.gl/SbgCyiYFuA1bjdMNA
CHRYSLER,"Chrysler كرايزلر الصيانة - الشويخ, ٥٢،, الشويخ الصناعية،, الشويخ الصناعية،, Kuwait",https://maps.app.goo.gl/Bj3ameF57Y73aAP8A
DODGE,,
FIAT,,
FORD,"Ford AlGhanem - Shuwaikh, Airport Rd, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/vxXBhWZAh7HjcNdZ6
GENESIS,"GENESIS service center, 23, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/Djoczyk4HwEp9Mfo9
GMC,"GMC Quick Service, Mohammed Bin Al Qasim Rd, 13004, Kuwait",https://maps.app.goo.gl/81artJ1eSy5p4Uxb7
HONDA,"8WQV+9XF, 13 St, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/PEEXoLXbBoQMJjgCA
HYUNDAI,"Hyundai Quick Service, 23 St, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/yJNRaXhWmAn3j8hVA
INFINITI,"INFINITI Al-Babtain Service & Spare Parts Center - Al- Rai، Hamad Rashed Al Alban St, Block 3، Al Rai 13008, Kuwait",https://maps.app.goo.gl/kYd8REvYsyhd4TAA9
ISUZU,"Isuzu Behbehini service, 1155-1158 10 St, Kuwait",https://maps.app.goo.gl/4JmQRkvmde4fhpEx9
JAC,"JAC Alghanim Showroom & Service Center - معرض ومركز خدمة جاك الغانم للسيارات، Street 12 Parcel 76, Shuwaikh Industrial 70651, Kuwait",https://maps.app.goo.gl/pyK9a3zRmCEUvZUGA
JAGUAR,"Jaguar Kuwait Showroom, Al-Rai, 4th Ring Road, 4, 13001, Kuwait",https://maps.app.goo.gl/WuAovFc3tFHZvRU37
JEEP,"52 St, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/2VAyxghJ1vsRMjyj6
KIA," Kia Service Center, 6th Street, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/VWGxq8WuXVwsAXz96
LAND ROVER,"Landrover Spare Parts And Accessories, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/rt3cjKZRJV2GDYCp8
LEXUS,"Lexus Genuine Parts - Shuwaikh, 3rd St, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/YNTaYjmBc37stLQ76
MAZDA,"Mazda Spare Parts - قطع غيار مازدا, 17 St, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/Eo1rNqoUNL1gLW3X7
MERCEDES-BENZ,"Mercedes-Benz Parts Centre - Al Mulla Automobiles - Shuwaikh St.13، Shuwaikh Industrial، 13th st، Safat, Kuwait",https://maps.app.goo.gl/EVwRrvqYGsVZzmkh9
MG,"Street Shuwaikh Industrial 13008, Shuwaikh, Kuwait",https://maps.app.goo.gl/ECHKkhagvV725pX57
MINI,"MINI Kuwait | ميني الكويت, Airport Road, 55 12 St, 70651, Kuwait",https://maps.app.goo.gl/tyvk8dxuht43NAEj7
MITSUBISHI,"Mitsubishi Quick Service Al Rai - Al Mulla Motors ميتسوبيشي مركز الخدمة السريعة في الري - الملا موتورز, Rabia, Kuwait",https://maps.app.goo.gl/bNg69GNZMW8pj11M6
NISSAN,"Nissan AlBabtain - Parts Shuwaikh 2, Shuwaikh Industrial, Kuwait",https://maps.app.goo.gl/DdSGZXTJs9Sfx6WU7
OPEL,,
RENAULT,"Renault Al-Babtain Service Centre - Al Rai, Rai, Block 4, Street 10, Rai, Kuwait",https://maps.app.goo.gl/UxxpF9gzeKhytXBi8
SUZUKI,"Suzuki Spare Parts, 354 35 St, Kuwait",https://maps.app.goo.gl/TD1ZkLJUTuSnpLP26
TOYOTA,"AlSayer Toyota, 4, Kuwait City 50000, Kuwait",https://maps.app.goo.gl/tpYbcuAcoaqxaTuG6
VOLKSWAGEN,"Volkswagen Alshuwaikh - فولكس واجن الشويخ, 9 St, Shuwaikh Industrial 00965, Kuwait",https://maps.app.goo.gl/eaab66YwKpVgCsZR7
VOLVO,"Alban Street Parcel 001600, Unit 7 Al, Kuwait",https://maps.app.goo.gl/NGp5WXYcYfgZmcp37
MERCURY,,
